Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Level/Status,Observation Status,Reporting Type,Units,2017,2020,2023
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),747,Northern Africa and Western Asia,_T,A,G,PERCENT,55,60,64
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),21,Northern America,_T,A,G,PERCENT,,75,75
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),154,Northern Europe,_T,A,G,PERCENT,75,78,79
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),578,Norway,_T,A,G,PERCENT,63,68,71
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),9,Oceania,_T,A,G,PERCENT,38,43,80
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),543,Oceania (exc. Australia and New Zealand),_T,A,G,PERCENT,27,22,42
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),512,Oman,_T,A,G,PERCENT,33,79,80
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),586,Pakistan,_T,A,G,PERCENT,50,56,63
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),585,Palau,_T,A,G,PERCENT,,,26
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),591,Panama,_T,A,G,PERCENT,37,33,40
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),598,Papua New Guinea,_T,A,G,PERCENT,25,19,19
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),600,Paraguay,_T,A,G,PERCENT,32,27,35
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),604,Peru,_T,A,G,PERCENT,30,41,46
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),608,Philippines,_T,A,G,PERCENT,51,56,62
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),616,Poland,_T,A,G,PERCENT,40,74,75
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),620,Portugal,_T,A,G,PERCENT,74,72,76
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),634,Qatar,_T,A,G,PERCENT,82,81,90
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),410,Republic of Korea,_T,A,G,PERCENT,68,76,81
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),498,Republic of Moldova,_T,A,G,PERCENT,32,46,68
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),642,Romania,_T,A,G,PERCENT,72,77,79
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),643,Russian Federation,_T,A,G,PERCENT,79,88,95
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),646,Rwanda,_T,A,G,PERCENT,35,66,68
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),659,Saint Kitts and Nevis,_T,A,G,PERCENT,22,23,23
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),662,Saint Lucia,_T,A,G,PERCENT,40,40,41
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),670,Saint Vincent and the Grenadines,_T,A,G,PERCENT,,24,25
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),882,Samoa,_T,A,G,PERCENT,70,75,75
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),674,San Marino,_T,A,G,PERCENT,66,66,68
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),678,Sao Tome and Principe,_T,A,G,PERCENT,23,33,44
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),682,Saudi Arabia,_T,A,G,PERCENT,57,57,83
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),686,Senegal,_T,A,G,PERCENT,53,50,55
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),688,Serbia,_T,A,G,PERCENT,30,36,39
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),690,Seychelles,_T,A,G,PERCENT,45,55,53
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),694,Sierra Leone,_T,A,G,PERCENT,19,36,37
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),702,Singapore,_T,A,G,PERCENT,100,100,100
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),703,Slovakia,_T,A,G,PERCENT,66,61,57
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),705,Slovenia,_T,A,G,PERCENT,58,87,83
