"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Activity","Location","Reporting Type","Units","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","100","Bulgaria","TOTAL","ALLAREA","G","M_M3_PER_YR","15.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","108","Burundi","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","108","Burundi","TOTAL","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","132","Cabo Verde","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","132","Cabo Verde","TOTAL","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","124","Canada","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","1476.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","124","Canada","TOTAL","ALLAREA","G","M_M3_PER_YR","5718.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","152","Chile","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","152","Chile","TOTAL","ALLAREA","G","M_M3_PER_YR","955.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREAT_SF","Total wastewater safely treated (million m3/year)","156","China","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
