Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Level/Status,Observation Status,Reporting Type,Units,2017,2020,2023
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",56,Belgium,_T,A,G,PERCENT,94,95,95
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",84,Belize,_T,A,G,PERCENT,26,25,34
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",204,Benin,_T,A,G,PERCENT,71,78,77
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",64,Bhutan,_T,A,G,PERCENT,24,27,
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",68,Bolivia (Plurinational State of),_T,A,G,PERCENT,49,51,57
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",70,Bosnia and Herzegovina,_T,A,G,PERCENT,62,53,49
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",72,Botswana,_T,A,G,PERCENT,47,38,55
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",76,Brazil,_T,A,G,PERCENT,64,71,55
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",96,Brunei Darussalam,_T,A,G,PERCENT,,51,54
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",100,Bulgaria,_T,A,G,PERCENT,65,72,71
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",854,Burkina Faso,_T,A,G,PERCENT,80,84,82
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",108,Burundi,_T,A,G,PERCENT,31,56,56
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",132,Cabo Verde,_T,A,G,PERCENT,70,66,70
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",116,Cambodia,_T,A,G,PERCENT,46,64,68
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",120,Cameroon,_T,A,G,PERCENT,33,44,65
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",124,Canada,_T,A,G,PERCENT,,,70
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",29,Caribbean,_T,A,G,PERCENT,67,66,23
6,6.5,6.5.1,ER_H2O_IWRMD_IP,"Degree of integrated water resources management implementation, institutions and participation (%)",140,Central African Republic,_T,A,G,PERCENT,42,47,55
