Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",31,Azerbaijan,G,CON_USD_M,55.84439,0.44707,21.38156,14.26745,14.94796,22.96888,22.52811,20.1258,14.60813,21.48822,18.8435,23.16612,36.05123,63.52295,64.80841,73.15,101.24954,102.84451,112.44279,100.67071,50.51365,6.29369
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",48,Bahrain,G,CON_USD_M,,,,,0.01547,,,,,,,,,,,,,,,,,
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",50,Bangladesh,G,CON_USD_M,100.60519,154.25695,37.73797,23.48274,20.91372,26.78726,39.60026,53.02205,58.40675,84.02959,189.62456,189.45656,166.37995,142.55748,186.64896,217.92624,264.87159,240.72381,294.64665,351.44996,287.0606,283.91698
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",52,Barbados,G,CON_USD_M,,,,0.71255,,,0.10341,0.09359,0.00122,0.02416,0.36921,,,,,,,,,,,
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",112,Belarus,G,CON_USD_M,,,,,,0.11132,0.08257,0.05004,0.97648,0.54362,2.06174,0.16436,0.2809,0.8341,1.28902,1.39828,5.40367,3.18684,1.57044,3.3553,0.33412,1.24065
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",84,Belize,G,CON_USD_M,,3.75981,2.49124,0.02715,,,,0.00033,0.53648,0.02175,0.12334,1.08871,0.59463,0.17211,0.76231,1.62278,0.48485,0.39726,0.86928,1.35935,0.37118,0.0688
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",204,Benin,G,CON_USD_M,39.55072,10.41163,12.59438,16.73953,47.18257,55.21922,42.4445,54.75204,64.00314,56.89716,72.63863,50.11205,46.10775,60.36901,62.33532,17.9749,46.7529,33.55618,79.06449,57.62634,45.2379,46.07404
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",64,Bhutan,G,CON_USD_M,5.65068,2.99711,1.6238,3.84481,4.84492,3.41236,2.92574,2.02165,1.46851,2.26456,3.01003,3.92279,2.50486,19.80233,50.27955,7.38739,4.6118,13.01003,21.37418,23.71191,13.02431,11.37946
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",68,Bolivia (Plurinational State of),G,CON_USD_M,100.95843,19.71962,36.02139,14.23858,37.30081,48.81888,45.87532,32.6541,40.73367,73.64223,67.06866,85.56667,184.81269,92.08916,93.79128,101.89028,220.5922,222.36554,135.18225,154.00635,117.55299,88.27674
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",70,Bosnia and Herzegovina,G,CON_USD_M,20.97938,41.72199,10.32132,14.71149,45.06107,21.66215,17.08111,17.81051,15.3802,18.92996,30.65715,46.56338,46.43549,40.32735,46.56583,74.02344,52.8919,52.89097,17.79062,29.44147,23.8259,21.56178
