Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Level/Status,Observation Status,Reporting Type,Units,2017,2020,2023
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",250,France,_T,A,G,PERCENT,100,100,100
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",266,Gabon,_T,A,G,PERCENT,6,23,30
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",270,Gambia,_T,A,G,PERCENT,34,34,42
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",268,Georgia,_T,A,G,PERCENT,36,42,57
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",276,Germany,_T,A,G,PERCENT,96,94,94
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",288,Ghana,_T,A,G,PERCENT,56,67,70
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",300,Greece,_T,A,G,PERCENT,87,97,94
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",308,Grenada,_T,A,G,PERCENT,24,25,28
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",320,Guatemala,_T,A,G,PERCENT,28,16,27
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",324,Guinea,_T,A,G,PERCENT,13,19,49
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",624,Guinea-Bissau,_T,A,G,PERCENT,,17,26
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",328,Guyana,_T,A,G,PERCENT,15,19,27
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",332,Haiti,_T,A,G,PERCENT,27,27,
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",340,Honduras,_T,A,G,PERCENT,20,21,43
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",348,Hungary,_T,A,G,PERCENT,77,80,82
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",352,Iceland,_T,A,G,PERCENT,28,55,65
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",356,India,_T,A,G,PERCENT,,41,76
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",360,Indonesia,_T,A,G,PERCENT,52,67,74
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",364,Iran (Islamic Republic of),_T,A,G,PERCENT,73,40,
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",368,Iraq,_T,A,G,PERCENT,24,33,39
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",372,Ireland,_T,A,G,PERCENT,80,81,90
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",376,Israel,_T,A,G,PERCENT,83,82,90
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",380,Italy,_T,A,G,PERCENT,60,89,90
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",388,Jamaica,_T,A,G,PERCENT,32,52,56
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",392,Japan,_T,A,G,PERCENT,100,100,100
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",400,Jordan,_T,A,G,PERCENT,68,70,73
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",398,Kazakhstan,_T,A,G,PERCENT,29,37,44
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",404,Kenya,_T,A,G,PERCENT,63,73,74
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",414,Kuwait,_T,A,G,PERCENT,84,87,90
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",417,Kyrgyzstan,_T,A,G,PERCENT,,27,39
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",432,Landlocked developing countries (LLDCs),_T,A,G,PERCENT,44,49,55
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",418,Lao People's Democratic Republic,_T,A,G,PERCENT,38,64,69
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",419,Latin America and the Caribbean,_T,A,G,PERCENT,33,36,39
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",428,Latvia,_T,A,G,PERCENT,72,58,58
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",199,Least Developed Countries (LDCs),_T,A,G,PERCENT,41,50,53
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",422,Lebanon,_T,A,G,PERCENT,37,37,40
