"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Level/Status","Observation Status","Reporting Type","Units","2017","2020","2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","36","Australia","_T","A","G","PERCENT","83","88","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","53","Australia and New Zealand","_T","A","G","PERCENT","72","74","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","40","Austria","_T","A","G","PERCENT","70","84","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","31","Azerbaijan","_T","A","G","PERCENT","78","48","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","44","Bahamas","_T","A","G","PERCENT","33","27","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","48","Bahrain","_T","A","G","PERCENT","40","40","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","50","Bangladesh","_T","A","G","PERCENT","45","50","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","52","Barbados","_T","A","G","PERCENT","30","23","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","112","Belarus","_T","A","G","PERCENT","24","42","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","56","Belgium","_T","A","G","PERCENT","55","63","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","84","Belize","_T","A","G","PERCENT","8","7","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_FI","Degree of integrated water resources management implementation, financing (%)","204","Benin","_T","A","G","PERCENT","48","52","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
