"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Level/Status","Observation Status","Reporting Type","Units","2017","2020","2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","70","Bosnia and Herzegovina","_T","A","G","PERCENT","62","56","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","72","Botswana","_T","A","G","PERCENT","49","49","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","76","Brazil","_T","A","G","PERCENT","44","57","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","96","Brunei Darussalam","_T","A","G","PERCENT","","80","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","100","Bulgaria","_T","A","G","PERCENT","62","70","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","854","Burkina Faso","_T","A","G","PERCENT","49","57","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","108","Burundi","_T","A","G","PERCENT","33","48","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","132","Cabo Verde","_T","A","G","PERCENT","41","41","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","116","Cambodia","_T","A","G","PERCENT","50","58","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","120","Cameroon","_T","A","G","PERCENT","37","43","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","124","Canada","_T","A","G","PERCENT","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","29","Caribbean","_T","A","G","PERCENT","60","63","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","140","Central African Republic","_T","A","G","PERCENT","12","24","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","13","Central America","_T","A","G","PERCENT","48","40","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","62","Central and Southern Asia","_T","A","G","PERCENT","38","46","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","143","Central Asia","_T","A","G","PERCENT","45","53","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","148","Chad","_T","A","G","PERCENT","30","39","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","152","Chile","_T","A","G","PERCENT","19","38","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","156","China","_T","A","G","PERCENT","76","79","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","170","Colombia","_T","A","G","PERCENT","53","57","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","174","Comoros","_T","A","G","PERCENT","14","10","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","178","Congo","_T","A","G","PERCENT","33","44","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","188","Costa Rica","_T","A","G","PERCENT","51","52","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","384","Côte d'Ivoire","_T","A","G","PERCENT","32","46","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","191","Croatia","_T","A","G","PERCENT","84","84","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","192","Cuba","_T","A","G","PERCENT","80","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","196","Cyprus","_T","A","G","PERCENT","85","89","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","203","Czechia","_T","A","G","PERCENT","82","83","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","408","Democratic People's Republic of Korea","_T","A","G","PERCENT","44","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","180","Democratic Republic of the Congo","_T","A","G","PERCENT","29","26","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","208","Denmark","_T","A","G","PERCENT","94","96","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.1","ER_H2O_IWRMD_MI","Degree of integrated water resources management implementation, management instruments (%)","262","Djibouti","_T","A","G","PERCENT","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
